id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
1230,L’ardoise Bistro,http://www.yelp.com/ /biz/l-ardoise-bistro-san-francisco,French,$31-60,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,Closed,"151 Noe StSan Francisco, CA 94114",(415) 437-2600,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,"Intimate, Romantic",Average,Beer & Wine Only,No,No,No,Yes,No,
1231,Anchor Oyster Bar,http://www.yelp.com/ /biz/anchor-oyster-bar-san-francisco,Seafood,$31-60,4.5 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,4:00 pm-9:30 pm,"579 Castro StSan Francisco, CA 94114",(415) 431-3990,No,No,Yes,Yes,No,Dinner,Street,Yes,No,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1232,Saru Sushi Bar,http://www.yelp.com/ /biz/saru-sushi-bar-san-francisco,"Sushi Bars,Japanese",$31-60,4.5 star rating,Closed,12:00 pm-2:00 pm5:30 pm-10:00 pm,12:00 pm-2:00 pm5:30 pm-10:00 pm,12:00 pm-2:00 pm5:30 pm-10:00 pm,12:00 pm-2:00 pm5:30 pm-11:00 pm,12:00 pm-2:00 pm5:30 pm-11:00 pm,12:00 pm-2:00 pm5:30 pm-10:00 pm,"3856 24th StSan Francisco, CA 94114",(415) 400-4510,No,No,No,Yes,Yes,Dinner,Street,No,No,No,Casual,Intimate,Average,Beer & Wine Only,Yes,No,No,Yes,No,
1233,Song Tea &amp; Ceramics,http://www.yelp.com/ /biz/song-tea-and-ceramics-san-francisco-2,"Coffee & Tea,Gift Shops",Pricey,5.0 star rating,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-5:00 pm,"2120 Sutter StSan Francisco, CA 94115",(415) 885-2118,,,Yes,Yes,Yes,,Street,Yes,,,,,,,No,No,,,,
1234,Sorrel,http://www.yelp.com/ /biz/sorrel-san-francisco-3,"American (New),Italian",$31-60,5.0 star rating,Closed,Closed,Closed,Closed,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,"945 Valencia StSan Francisco, CA 94107",(303) 931-2870,Yes,No,No,Yes,Yes,,,Yes,No,Yes,Dressy,,,,No,No,No,Yes,Yes,
1235,Frances,http://www.yelp.com/ /biz/frances-san-francisco,American (New),$31-60,4.5 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:00 pm,"3870 17th StSan Francisco, CA 94114",(415) 621-3870,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1236,Prubechu,http://www.yelp.com/ /biz/prubechu-san-francisco,"Asian Fusion,Seafood",$31-60,4.5 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,Closed,"2847 Mission StSan Francisco, CA 94110",(415) 952-3654,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1237,Bistro Central Parc,http://www.yelp.com/ /biz/bistro-central-parc-san-francisco,"French,Breakfast & Brunch",$31-60,4.5 star rating,Closed,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,10:00 am-3:00 pm5:00 pm-10:00 pm,10:00 am-3:00 pm5:00 pm-10:00 pm,"560 Central AveSan Francisco, CA 94117",(415) 931-7272,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,,Average,Beer & Wine Only,Yes,No,No,Yes,No,
1238,La Ciccia,http://www.yelp.com/ /biz/la-ciccia-san-francisco,"Seafood,Sardinian",$31-60,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"291 30th StSan Francisco, CA 94131",(415) 550-8114,Yes,No,No,Yes,,Dinner,Street,No,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1239,Revelry Bistro,http://www.yelp.com/ /biz/revelry-bistro-san-francisco,"French,American (New),Breakfast & Brunch",$31-60,4.5 star rating,Closed,Closed,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,11:00 am-10:30 pm,11:00 am-9:00 pm,"297 Page StSan Francisco, CA 94102",(415) 241-6833,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,"Romantic, Upscale",Average,Beer & Wine Only,Yes,No,No,Yes,No,
